#    L    TT             EE             TE             PP             TP          
   307   0.373053E+04   0.100917E+02   0.118135E+03   0.143830E+07   0.982164E+03
   308   0.369717E+04   0.102725E+02   0.118215E+03   0.143254E+07   0.973218E+03
   309   0.366389E+04   0.104525E+02   0.118245E+03   0.142682E+07   0.964333E+03
   310   0.363053E+04   0.106326E+02   0.118245E+03   0.142113E+07   0.955511E+03
   311   0.359724E+04   0.108149E+02   0.118201E+03   0.141548E+07   0.946751E+03
   312   0.356403E+04   0.109964E+02   0.118128E+03   0.140986E+07   0.938053E+03
   313   0.353082E+04   0.111787E+02   0.118011E+03   0.140427E+07   0.929418E+03
   314   0.349768E+04   0.113618E+02   0.117865E+03   0.139871E+07   0.920846E+03
   315   0.346461E+04   0.115440E+02   0.117675E+03   0.139319E+07   0.912336E+03
   316   0.343162E+04   0.117271E+02   0.117448E+03   0.138770E+07   0.903889E+03
   317   0.339870E+04   0.119094E+02   0.117185E+03   0.138224E+07   0.895504E+03
   318   0.336585E+04   0.120931E+02   0.116884E+03   0.137681E+07   0.887183E+03
   319   0.333315E+04   0.122762E+02   0.116548E+03   0.137142E+07   0.878924E+03
